DEL NORTE 2E	maxt	mint	pcpn	snow
2016-02-05	19	-1	0.00	0.0
2016-02-06	32	4	0.00	0.0
2016-02-07	31	6	0.00	0.0
2016-02-08	41	6	0.00	0.0
2016-02-09	43	13	0.00	0.0
2016-02-10	41	16	0.00	0.0
2016-02-11	42	19	0.00	0.0
2016-02-12	46	22	0.00	0.0
2016-02-13	50	19	0.00	0.0
2016-02-14	52	22	0.00	0.0
2016-02-15	48	21	0.00	0.0
2016-02-16	46	21	0.00	0.0
2016-02-17	49	21	0.00	0.0
2016-02-18	52	25	0.00	0.0
2016-02-19	54	26	0.00	0.0
2016-02-20	55	26	0.00	0.0
2016-02-21	59	25	0.00	0.0
2016-02-22	53	23	0.00	0.0
2016-02-23	52	23	0.15	2.5
2016-02-24	33	12	T	T
2016-02-25	37	14	0.00	0.0
2016-02-26	47	21	0.00	0.0
2016-02-27	53	25	0.00	0.0
2016-02-28	55	27	0.00	0.0
2016-02-29	55	25	0.00	0.0
2016-03-01	56	26	0.00	0.0
2016-03-02	56	27	0.00	0.0
2016-03-03	56	23	0.00	0.0
2016-03-04	57	25	0.00	0.0
2016-03-05	62	26	0.00	0.0
2016-03-06	62	26	0.00	0.0
2016-03-07	62	26	T	T
2016-03-08	46	20	0.00	0.0
2016-03-09	47	19	0.00	0.0
2016-03-10	50	19	0.00	0.0
2016-03-11	60	25	0.00	0.0
2016-03-12	63	27	0.00	0.0
2016-03-13	57	25	0.00	0.0
2016-03-14	56	26	0.00	0.0
2016-03-15	56	25	0.00	0.0
2016-03-16	48	19	0.00	0.0
2016-03-17	53	16	0.00	0.0
2016-03-18	57	18	0.00	0.0
2016-03-19	58	17	0.00	0.0
2016-03-20	56	16	0.00	0.0
2016-03-21	58	15	0.00	0.0
2016-03-22	65	25	0.00	0.0
2016-03-23	65	25	0.00	0.0
2016-03-24	65	20	0.00	0.0
2016-03-25	50	20	0.00	0.0
2016-03-26	51	23	0.06	0.6
2016-03-27	51	5	0.49	5.5
2016-03-28	34	5	0.00	0.0
2016-03-29	54	20	0.00	0.0
2016-03-30	54	19	0.00	0.0
2016-03-31	52	19	0.00	0.0
2016-04-01	41	15	0.05	1.3
2016-04-02	45	15	0.00	0.0
2016-04-03	55	26	0.00	0.0
2016-04-04	63	31	0.00	0.0
2016-04-05	66	30	0.00	0.0
2016-04-06	64	22	0.00	0.0
2016-04-07	65	22	0.00	0.0
2016-04-08	69	32	0.00	0.0
2016-04-09	58	31	0.00	0.0
2016-04-10	61	34	0.00	0.0
2016-04-11	63	34	0.00	0.0
2016-04-12	57	33	T	0.0
2016-04-13	60	31	0.00	0.0
2016-04-14	62	31	0.00	0.0
2016-04-15	67	32	0.00	0.0
2016-04-16	59	31	0.72	6.8
2016-04-17	33	16	0.27	3.0
2016-04-18	38	19	0.20	2.1
2016-04-19	36	22	0.04	0.5
2016-04-20	42	24	0.00	0.0
2016-04-21	54	30	T	0.0
2016-04-22	60	32	0.00	0.0
2016-04-23	69	32	0.00	0.0
2016-04-24	64	32	T	0.0
2016-04-25	63	29	0.00	0.0
2016-04-26	61	26	T	0.0
2016-04-27	61	26	T	0.0
2016-04-28	58	30	0.00	0.0
